DATE,CBONDRET,TBONDRET,CPIUS
200201,1.75,1.01,0.23
200202,1.3,0.68,0.4
200203,-2.95,-5.04,0.56
200204,2.53,3.63,0.56
200205,1.13,0.21,0
200206,0.73,1.87,0.06
200207,0.94,3.5,0.11
200208,4.52,6.01,0.33
200209,3.3,4.29,0.17
200210,-2.4,-4.2,0.17
200211,1.03,-0.33,0
200212,3.61,4.26,-0.22
200301,0.21,-0.48,0.44
200302,2.64,2.9,0.77
200303,-0.8,-1.79,0.6
200304,2.29,1.14,-0.22
200305,4.71,6.42,-0.16
200306,-1.43,-2.32,0.11
200307,-8.81,-10.49,0.11
200308,2.19,2.3,0.38
200309,5.03,5.52,0.33
200310,-2.03,-3.14,-0.11
200311,0.52,0.41,-0.27
200312,1.39,1.32,-0.11
200401,1.87,1.95,0.49
200402,1.78,2.16,0.54
200403,1.18,1.42,0.64
200404,-5.34,-6.73,0.32
200405,-0.71,-0.34,0.59
200406,0.93,1.2,0.32
200407,1.84,1.67,-0.16
200408,3.95,4.32,0.05
200409,1.01,0.91,0.21
200410,1.64,1.87,0.53
200411,-2,-2.58,0.05
200412,2.57,2.99,-0.37
200501,2.54,3.84,0.21
200502,-0.81,-1.57,0.58
200503,-2.36,-0.09,0.78
200504,2.14,3.91,0.67
200505,2.34,3.25,-0.1
200506,1.64,2.27,0.05
200507,-1.39,-3.64,0.46
200508,2,3.55,0.51
200509,-3.36,-4.11,1.22
200510,-2.19,-2.25,0.2
200511,0.88,1.25,-0.8
200512,2.12,2.65,-0.4
200601,-0.75,-1.6,0.76
200602,1.35,1.28,0.2
200603,-3.61,-5.55,0.55
200604,-1.55,-3.8,0.85
200605,-0.58,-0.56,0.5
200606,0.12,1.09,0.2
200607,2.29,2.3,0.3
200608,3.2,3.35,0.2
200609,1.72,2.23,-0.49
200610,1.4,1.15,-0.54
200611,2.38,2.88,-0.15
200612,-2.18,-3.51,0.15
