DATE,CBONDRET,TBONDRET,CPIUS
194312,0.49,0.18,0
194401,0.2,0.21,0
194402,0.34,0.32,0
194403,0.48,0.21,0
194404,0.34,0.13,0.57
194405,0.05,0.28,0
194406,0.2,0.08,0.57
194407,0.34,0.36,0.57
194408,0.34,0.27,0
194409,0.19,0.14,0
194410,0.19,0.12,0
194411,0.48,0.24,0
194412,1.49,0.42,0.57
194501,0.76,1.27,0
194502,0.46,0.77,0
194503,0.18,0.21,0
194504,0.18,1.6,0
194505,-0.11,0.56,0.56
194506,0.32,1.69,1.12
194507,-0.11,-0.86,0
194508,0.04,0.26,0
194509,0.32,0.54,0
194510,0.32,1.04,0
194511,0.32,1.25,0
194512,1.33,1.94,0.55
194601,1.28,0.25,0
194602,0.34,0.32,-0.55
194603,0.34,0.1,1.11
194604,-0.43,-1.35,0.55
194605,0.19,-0.12,0.54
194606,0.19,0.7,1.08
194607,-0.12,-0.4,5.88
194608,-0.88,-1.12,2.02
194609,-0.26,-0.09,0.99
194610,0.2,0.74,1.96
194611,-0.25,-0.54,2.4
194612,1.13,1.45,0.94
194701,0.05,-0.06,0
194702,0.05,0.21,0
194703,0.67,0.2,1.86
194704,0.2,-0.37,0
194705,0.2,0.33,0
194706,0.04,0.1,0.46
194707,0.2,0.63,0.91
194708,-0.71,0.81,1.35
194709,-1.31,-0.44,2.22
194710,-0.99,-0.37,0
194711,-0.98,-1.74,0.43
194712,0.24,-1.92,1.3
194801,0.24,0.2,1.28
194802,0.39,0.46,-0.84
194803,1.15,0.34,-0.43
194804,0.38,0.45,1.71
194805,0.08,1.41,0.42
194806,-0.83,-0.84,0.84
194807,-0.52,-0.21,1.24
194808,0.55,0.01,0.41
194809,0.24,0.14,0
194810,0.24,0.07,-0.41
194811,0.85,0.76,-0.82
194812,1.31,0.56,-0.41
194901,0.38,0.82,-0.41
194902,0.38,0.49,-0.83
194903,0.07,0.74,0
194904,0.23,0.11,0.42
194905,0.38,0.19,-0.42
194906,0.84,1.67,0.42
194907,0.99,0.33,-0.84
194908,0.37,1.11,0.42
194909,0.21,-0.11,0.42
194910,0.67,0.19,-0.84
194911,0.21,0.21,0.42
194912,-1.45,0.52,-0.84
195001,0.37,-0.61,-0.42
195002,0.07,0.21,0
195003,0.22,0.08,0.43
