date        NoDur  Durbl  Manuf  Enrgy  HiTec  Telcm  Shops  Hlth   Utils  Other
193201   2.04  -6.89  -0.53  -4.30 -11.55  -4.04   0.25  -3.00  -2.52   6.81
193202   5.31   2.18   6.09   7.81   6.23  11.63   3.22   2.80   6.97  -0.32
193203  -5.82 -22.22 -14.28  -0.60 -14.38  -9.90  -8.31  -6.87  -9.51 -15.91
193204 -11.28 -29.42 -23.08 -12.20 -24.12 -12.38 -14.65 -19.91 -15.59 -22.28
193205 -21.26 -18.56 -18.04  -7.55 -28.70 -10.80 -30.15 -34.74 -26.83 -30.00
193206   1.50  -7.91  -2.67   5.27   7.10  -9.55  -2.62  10.43   1.54  -2.07
193207  24.09  44.86  41.72  33.50  44.09  16.67  27.41  29.95  29.18  55.52
193208  22.28  45.16  46.29  17.23  45.34  28.16  34.57  37.46  43.16  58.74
193209  -0.63   8.43  -2.55 -10.96  -5.60   0.25   0.45 -12.86  -4.61  -4.05
193210 -11.26 -24.70 -15.83  -3.60 -18.97  -8.12 -11.37 -19.42 -10.88 -17.90
193211  -7.10  -2.70 -10.37  -2.80  -8.23  -1.12  -5.16   6.32  -3.38  -6.96
193212   3.44   4.41   3.33   0.16   7.64   3.67   6.81   8.11   9.11   4.91
193301   4.85   0.82   3.30  -2.37   1.47   0.30  -2.53  -1.30  -4.46   8.79
193302  -8.87 -24.36 -17.42 -13.01 -20.08  -7.78 -15.86 -10.12 -19.69 -16.35
193303  10.46   9.10  11.25   3.96   6.19  -5.83   7.75  -3.94 -12.68   4.00
193304  34.41  79.71  57.40  32.57  53.43  13.19  37.05  38.66  24.76  30.17
193305  12.72  26.01  25.96  17.30  19.53  17.37  16.28  24.87  19.26  31.35
193306  10.70  20.84  12.44  12.50  10.76  10.48  16.34  10.85  15.60  14.35
193307  -6.61  -6.94 -11.33 -11.56 -10.93  -4.35 -13.65 -19.43 -13.54  -6.59
193308   9.90  20.80  16.23  18.38  12.76   4.50   7.31  -0.29  -1.30  14.59
193309  -7.59 -15.28  -9.99  -2.14 -17.15  -3.55  -8.69  -2.70 -19.82 -16.47
193310  -8.73 -10.00  -7.94  -4.83  -9.68  -7.18  -8.60  -5.91  -7.75 -10.84
193311   4.89  25.35  12.78  14.28  12.66   5.61  13.95   9.39  -2.68   5.36
193312  -3.39  10.35   4.64  -1.10   1.43  -3.75   6.19 -11.20   1.48   4.90
193401  10.48  13.13  10.97   9.29  15.84   5.96  21.17  16.27  20.58  18.58
193402  -4.72  -2.07  -3.03  -3.07  -6.42   2.14   2.68  -3.41  -1.81  -1.88
193403   0.95  -0.34  -1.26  -1.56   3.24   1.27   3.36  -0.75  -1.80   0.76
193404   3.17  -6.80  -2.75  -2.18  -2.26  -1.25  -0.49   8.33  -3.84  -1.53
193405  -2.77 -12.75 -10.01  -4.04  -6.58  -4.30  -7.26  -0.31  -7.84  -7.27
193406   3.85  -2.66   4.32   1.17   2.60   1.32   2.17   2.07   4.40   3.15
193407  -5.14 -13.72 -11.44 -10.11 -11.84  -4.33  -7.32  -1.85 -17.45 -17.18
193408   4.34  10.84   7.55   6.93   6.51   2.55   6.37  -3.03   1.91   4.33
193409   0.13   0.69  -1.14  -1.98  -0.29   1.90   1.07   0.64   1.67  -0.35
193410   0.59  -2.08  -0.36  -5.18  -0.99  -1.58   1.23  -0.94  -7.79  -2.11
193411   8.45  17.67  12.61   7.52  13.46  -1.73  10.42   3.83  -0.22   5.71
193412  -0.84   3.49   2.25   0.69   3.70  -0.59  -1.16   0.63  -8.72  -0.11
193501  -1.40  -9.01  -2.39  -4.17   1.22  -0.45  -4.36  -0.92  -3.06  -6.67
193502   1.67  -3.28  -1.72  -2.93   0.17   1.04  -1.31   4.40 -12.04  -4.53
193503  -4.60  -5.84  -4.79  -3.72  -4.14  -0.70  -4.99  -3.24  12.23  -5.43
193504   5.66   5.68   8.94  14.78  10.19   9.14   6.22   3.57  10.92   8.78
193505   1.11   3.02   1.84   3.68   2.76   8.38   3.36  -4.31  13.67   3.75
193506   5.51   9.65   6.51   1.32   8.20   5.36   3.91   4.06   9.10   6.28
193507   3.08  19.03  10.71   0.48   9.60   5.74   6.56   3.90   9.41   7.31
193508  -1.64   8.95   3.14  -2.05   3.24   4.06   3.62   0.12   7.20   3.29
193509   1.58  10.99   4.21  -3.21   7.67   4.29  -0.21   1.33  -1.65   0.57
193510   4.61  13.63   5.84  13.18   8.74   3.09   4.37   6.11  14.60   2.36
193511   1.10   3.54   4.41   2.61   5.82   9.71   2.71   1.69   0.82  13.23
193512   2.00   5.74   3.64  14.34   3.38  -0.16  -0.87   2.53   5.61   4.26
193601   3.17   3.88   5.53  12.94   6.45   4.17  -3.95   3.66  12.64  12.00
193602   0.66   3.66   5.74   1.26   0.28   6.56   0.50   3.19  -6.41   2.93
193603  -2.08  10.20   2.48   1.70   0.00  -3.36   2.07   3.78   0.70  -2.95
193604  -4.43 -10.13  -8.93  -9.08  -8.72  -5.65  -4.17  -9.08  -8.35  -7.27
193605   4.92   4.05   6.30  -0.47   5.34   6.45   3.58   4.87   9.60   7.53
193606   2.28   6.87   1.21   1.64   1.43   2.42   6.83   1.36   3.69   1.78
193607   3.03   4.88   7.62   4.75  12.15   2.44   4.50   4.92  11.80   9.55
193608   0.76  -0.31   1.63  -0.67   2.53   1.76   2.36  -1.47  -1.08   1.80
193609  -0.73   3.25   2.07   1.37  -1.29   0.35   6.18   0.73  -2.20   0.92
193610   3.31   5.12   7.68  12.53   5.70   5.08   9.39   3.75   5.76   8.13
193611   4.34  -1.42   5.51   1.49   5.46   3.87  11.00   3.36  -3.15   0.46
